banos,ciudad,codigoPostal,comunidad,habitaciones,link,nombre,particular,planta,precio,referencia,superficie,web
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/valdeacederas/150410229/d?RowGrid=4&tti=1&opi=300,,Profesional,2,298.000,150410229,108,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/149348183/d?RowGrid=3&tti=1&opi=300,,Profesional,,420.000,149348183,58,Fotocasa
2 baño, Madrid Capital,,Madrid,8 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking/145564667/d?RowGrid=2&tti=1&opi=300,,Profesional,3,935.000,145564667,292,Fotocasa
1 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/castillejos/150605473/d?RowGrid=1&tti=1&opi=300,,Profesional,3,499.000,150605473,127,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/147815628/d?RowGrid=4&tti=1&opi=300,,Profesional,1,860.000,147815628,179,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-zona-comunitaria-ascensor-piscina-parking-piscina/145235957/d?RowGrid=4&tti=1&opi=300,,Profesional,2,191.000,145235957,89,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150336287/d?RowGrid=4&tti=1&opi=300,,Profesional,3,385.000,150336287,75,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-ascensor/150792131/d?RowGrid=4&tti=1&opi=300,,Particular,2,240.000,150792131,90,Fotocasa
5 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/149935177/d?RowGrid=4&tti=1&opi=300,,Profesional,2,1.595,149935177,242,Fotocasa
6 baño, Madrid Capital,,Madrid,7 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero-piscina/150373012/d?RowGrid=3&tti=1&opi=300,,Profesional,2,1.150,150373012,560,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/149825000/d?RowGrid=2&tti=1&opi=300,,Profesional,7,765.000,149825000,75,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-amueblado-television-internet/150792209/d?RowGrid=1&tti=1&opi=300,,Particular,3,150.000,150792209,47,Fotocasa
4 baño, Madrid Capital,,Madrid,5 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-jardin-terraza-piscina/149686065/d?RowGrid=3&tti=1&opi=300,,Profesional,395,1.340,149686065,284,Fotocasa
2 baño, Madrid Capital,,Madrid,5 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-no-amueblado/149547809/d?RowGrid=2&tti=1&opi=300,,Profesional,,890.000,149547809,167,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-no-amueblado/149734718/d?RowGrid=4&tti=1&opi=300,,Profesional,1,124.000,149734718,55,Fotocasa
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-terraza-trastero/141619633/d?RowGrid=3&tti=1&opi=300,,Profesional,2,790.000,141619633,301,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero-ascensor/148045591/d?RowGrid=3&tti=1&opi=300,,Profesional,4,610.000,148045591,131,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/castellana/150696038/d?RowGrid=4&tti=1&opi=300,,Profesional,7,369.000,150696038,48,Fotocasa
1 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-terraza-ascensor/150204023/d?RowGrid=4&tti=1&opi=300,,Profesional,3,225.000,150204023,128,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/150371435/d?RowGrid=4&tti=1&opi=300,,Profesional,9,495.000,150371435,100,Fotocasa
2 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor/150373001/d?RowGrid=2&tti=1&opi=300,,Profesional,1,339.000,150373001,131,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/149201308/d?RowGrid=3&tti=1&opi=300,,Profesional,2,410.000,149201308,71,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/150655926/d?RowGrid=1&tti=1&opi=300,,Profesional,6,625.000,150655926,96,Fotocasa
4 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-parking/150371398/d?RowGrid=4&tti=1&opi=300,,Profesional,7,2.570,150371398,322,Fotocasa
