banos,ciudad,comunidad,habitaciones,link,particular,precio,referencia,superficie,web
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/simancas/150802392/d?RowGrid=4&tti=1&opi=300,Profesional,92.000,150802392,53,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/los-rosales/150377752/d?RowGrid=4&tti=1&opi=300,Profesional,89.900,150377752,63,Fotocasa
1, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150801881/d?RowGrid=4&tti=1&opi=300,Profesional,165.000,150801881,31,Fotocasa
1,Algete,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/algete/aire-acondicionado-calefaccion-terraza-ascensor/147625495/d?RowGrid=2&tti=1&opi=300,Profesional,163.000,147625495,98,Fotocasa
4,Meco,Madrid,6,https://www.fotocasa.es/es/comprar/vivienda/meco/calefaccion-parking-terraza/148243983/d?RowGrid=4&tti=1&opi=300,Profesional,598.000,148243983,390,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/149132430/d?RowGrid=4&tti=1&opi=300,Profesional,161.000,149132430,100,Fotocasa
2, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-amueblado/150708344/d?RowGrid=4&tti=1&opi=300,Profesional,179.000,150708344,65,Fotocasa
1,Alcalá de Henares,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/alcala-de-henares/aire-acondicionado-calefaccion-terraza/150331648/d?RowGrid=4&tti=1&opi=300,Profesional,95.000,150331648,62,Fotocasa
2, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/147630689/d?RowGrid=4&tti=1&opi=300,Profesional,1.340,147630689,157,Fotocasa
4, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero/147590647/d?RowGrid=3&tti=1&opi=300,Profesional,2.300,147590647,347,Fotocasa
2, Madrid Capital,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/149616444/d?RowGrid=3&tti=1&opi=300,Profesional,635.000,149616444,138,Fotocasa
2,Majadahonda,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/majadahonda/calefaccion-parking-jardin-trastero-zona-comunitaria-ascensor-piscina-no-amueblado/150754828/d?RowGrid=4&tti=1&opi=300,Profesional,597.000,150754828,147,Fotocasa
2, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-jardin-parking/150324666/d?RowGrid=4&tti=1&opi=300,Profesional,185.000,150324666,93,Fotocasa
2, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-patio/150372692/d?RowGrid=4&tti=1&opi=300,Profesional,400.000,150372692,90,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/148681251/d?RowGrid=1&tti=1&opi=300,Profesional,128.900,148681251,70,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/150544730/d?RowGrid=4&tti=1&opi=300,Profesional,176.000,150544730,62,Fotocasa
2, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor-amueblado/149923085/d?RowGrid=4&tti=1&opi=300,Profesional,480.000,149923085,90,Fotocasa
